City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
308,Presidencia Roque Saenz Pena,AR,72.34,clear sky,-26.7852,-60.4388,Hotel Gualok
312,Kondinskoye,RU,65.75,broken clouds,59.6481,67.41,Gostinitsa
313,Cap Malheureux,MU,67.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
320,Nara,JP,80.49,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
321,Simpang,ID,74.46,few clouds,-1.2667,104.0833,
322,Varfurile,RO,76.26,overcast clouds,46.3167,22.5167,Pensiune Alina Maria
324,Katsuura,JP,79.57,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
327,Port-Gentil,GA,73.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
328,Marawi,PH,68.11,overcast clouds,7.9986,124.2928,Derogongan Residence
331,Tabou,CI,74.08,overcast clouds,4.423,-7.3528,hotêl doufoulougou
332,Hearst,CA,68.5,clear sky,49.6835,-83.6665,Companion
334,Kavieng,PG,80.8,light rain,-2.5744,150.7967,Nusa Island Retreat
336,Salinas,US,81.57,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
338,Ponta Delgada,PT,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
339,Port Blair,IN,81.39,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
343,Kirakira,SB,77.9,overcast clouds,-10.4544,161.9205,SanBiz Lodge
344,Benghazi,LY,82.36,clear sky,32.1167,20.0667,Tibesti Hotel
345,Mangan,IN,76.06,clear sky,27.5167,88.5333,Hotel Mout View
347,Chapaevsk,RU,75.61,overcast clouds,52.9813,49.7112,Olimp
351,Gat,IL,81.28,clear sky,31.61,34.7642,OlusHome
353,Porto Novo,BJ,74.79,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
354,Sorong,ID,76.98,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
355,Tuy Hoa,VN,76.3,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
356,Banjar,ID,73.71,clear sky,-8.19,114.9675,The Hamsa Resort
359,Puerto Suarez,BO,81.16,broken clouds,-18.95,-57.8,Hotel casa real
360,Altay,CN,65.8,clear sky,47.8667,88.1167,Jinqiao Hotel
361,Qingdao,CN,83.5,broken clouds,36.0986,120.3719,Le Meridien Qingdao
364,Balkhash,KZ,75.9,broken clouds,46.844,74.9804,Family
366,San Lorenzo,PY,65.34,broken clouds,-25.3333,-57.5333,Canarias Hotel
367,Khasan,RU,72.57,scattered clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
369,Touros,BR,80.31,few clouds,-5.1989,-35.4608,INN NEW HORIZON
371,Los Alamos,US,83.14,clear sky,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
372,Karachi,PK,82.22,scattered clouds,24.9056,67.0822,Sadaat
373,Konya,TR,78.28,scattered clouds,38.1667,32.5,Meydan Ahmet Muhtar
374,Preobrazheniye,RU,72.28,overcast clouds,42.9019,133.9064,Campsite Orlan
375,Nokaneng,BW,69.37,clear sky,-19.6667,22.2667,
376,Corinto,GR,83.89,clear sky,37.9407,22.9573,Ephira Hotel
377,Paralimni,CY,82.11,clear sky,35.0375,33.9833,Amore Hotel Apartments
379,Boffa,GN,76.5,moderate rain,10.1667,-14.0333,Hôtel Niara Belly
381,Green River,US,77.18,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
382,Vryburg,ZA,65.79,scattered clouds,-26.9566,24.7284,The Times Premier Lodge
385,Lompoc,US,84.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
387,Marsa Matruh,EG,80.13,clear sky,31.3525,27.2453,Beau Site
388,Inzhavino,RU,72.37,few clouds,52.3185,42.4937,Otel' Raduga Inzhavino
389,Phonhong,LA,74.23,overcast clouds,18.5007,102.4166,Manyvong Guest House
391,Marzuq,YE,79.07,few clouds,14.4,46.4667,
392,Fortuna,US,67.93,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
394,Beyneu,KZ,84.04,clear sky,45.3167,55.2,NUR
395,Buala,SB,79.43,light rain,-8.145,159.5921,Maringe Lagoon Lodge
397,Kapoeta,SS,76.8,overcast clouds,4.7717,33.5903,Eastgate Hotel
398,Buchanan,LR,75.42,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
399,Saint Anthony,US,73.24,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
401,Ternate,ID,78.66,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
402,Handan,CN,83.25,overcast clouds,36.6006,114.4678,Jin Jiang Inn - Handan China South Street Inn
404,Flin Flon,CA,76.37,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
406,Barcelos,PT,75.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
408,Catamarca,AR,66.79,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
409,Mangrol,IN,81.52,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
