City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Maiduguri,NG,11.8464,13.1603,79.0,77,99,14.67,moderate rain
119,Waipawa,NZ,-41.4122,175.5153,47.84,95,100,12.57,moderate rain
120,Mokrousovo,RU,55.8103,66.7653,63.43,76,66,7.11,broken clouds
121,Emerald,AU,-23.5333,148.1667,48.34,70,0,11.01,clear sky
122,Shakawe,BW,-18.3667,21.85,67.82,25,0,5.73,clear sky
123,Sembakung,ID,3.8167,117.25,71.78,92,100,2.42,light rain
124,Guozhen,CN,34.3659,107.359,84.72,63,100,4.18,overcast clouds
125,Georgetown,MY,5.4112,100.3354,82.89,89,20,0.0,few clouds
126,Seymchan,RU,62.8833,152.4333,65.17,75,89,2.17,overcast clouds
127,Qaanaaq,GL,77.484,-69.3632,43.66,58,6,2.13,clear sky
128,Mbalmayo,CM,3.5167,11.5,67.62,99,100,3.96,overcast clouds
129,Lebu,CL,-37.6167,-73.65,46.38,86,99,11.56,overcast clouds
130,Broken Hill,AU,-31.95,141.4333,47.55,65,7,6.58,clear sky
131,New Norfolk,AU,-42.7826,147.0587,37.71,85,32,1.95,scattered clouds
132,Walvis Bay,NA,-22.9575,14.5053,57.09,76,5,4.61,clear sky
133,Topolobampo,MX,25.6,-109.05,89.04,59,54,9.66,broken clouds
134,Pizhanka,RU,57.4604,48.542,68.09,70,81,4.32,broken clouds
135,Norman Wells,CA,65.282,-126.8329,64.44,59,75,6.91,broken clouds
136,Bathsheba,BB,13.2167,-59.5167,84.81,90,40,14.97,scattered clouds
137,Arroyo,ES,41.6096,-4.7969,91.44,27,0,3.44,clear sky
138,Guerrero Negro,MX,27.9769,-114.0611,86.95,52,88,5.3,overcast clouds
139,Aleksandrovskiy Zavod,RU,50.9237,117.9374,45.48,81,10,6.44,clear sky
140,Rocha,UY,-34.4833,-54.3333,51.1,68,99,10.76,overcast clouds
